titre,prix,surface,quartier,type,url,prix_m2,description,image_url,image_status,date_publication
Appartement 3 pièces 51 m²,124000,51 m²,Saint-Roch,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/hektor-mourillon-388222?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2&depuis-mise-en-avant=oui,2431,"TOULON SAINT ROCH, dans un bel immeuble art déco, proche des commodités, du centre ville de Toulon, et au calme, appartement type 3 de 51 m2 en trés bon état, comprenant, salon avec cuisine américaine, dégagement, 2 chambres dont 1 avec balcon, salle d'eau et w-c. Une cave complète ce bien. Idéal pour investissement ou premier achat. A visiter sans tarder !<br>",https://file.bienici.com/photo/hektor-mourillon-388222_agenceibox.staticlbi.com_original_images_biens_3_4ccfb7fe177c9f2c4c48e4ddceec95f9_photo_8643397a6ba862ddd2b03773e170b25c_Inc_0.jpg?width=600&height=370&fit=cover,ok,7 mars 2026
Appartement 1 pièce 16 m²,79000,16 m²,Le Mourillon - La Mitre - Fort Lamalgue,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/ag835694-466798136?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2&depuis-mise-en-avant=oui,4938,"A SAISIR

Toulon, au cœur du quartier du Mourillon, proche du marché, des commerces, dans une maison de ville élevée de 4 étages sur rez-de-chaussée, un Studio d'une superficie de 16m², lumineux situé au 2ème étage sans ascenseur.

A Débattre",https://file.bienici.com/photo/ag835694-466798136_photos.ubiflow.net_835694_466798136_photos_1.jpg_INSOON_EB_5512801818_20250412001305?width=600&height=370&fit=cover,ok,18 fevrier 2026
Appartement 4 pièces 85 m²,250000,85 m²,Porte d'Italie,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/4pieces/ag942352-517060844?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,2941,"Découvrez cet appartement T4 de 85 m², idéalement situé dans une résidence paisible et sécurisée de Toulon. Niché au premier étage d'un immeuble de sept étages avec ascenseur, ce bien vous offre un cadre de vie serein à deux pas des commodités du centre Mayol et des plages ensoleillées du Mourillon.

La pièce de vie, baignée de lumière, s'étend sur 20 m² et s'ouvre sur un balcon de 6 m² orienté plein sud, parfait pour profiter de moments de détente ou de repas en plein air. Les trois chambres, dont deux avec accès direct au balcon, offrent une vue dégagée sur le Faron, sans vis-à-vis, et permettent une grande flexibilité d'aménagement selon vos besoins.

Le quartier est très prisé, avec des établissements scolaires allant de la maternelle au lycée à moins de 100 m, ainsi qu'un accès facile aux commerces, services et transports en commun. Les parcs et espaces verts à proximité ajoutent au charme de cet environnement de vie.

Caractéristiques techniques :

- Type de bien : Appartement
- Surface : 85 m²
- Nombre de pièces : 4
- Nombre de chambres : 3
- Salle de bains : 1
- Construction : 1991
- Étage : 1er sur 7 avec ascenseur
- Balcon : 6 m², Terrasse : 8 m²
- Consommation énergétique : B, Gaz à effet de serre : A
- Équipements : Double vitrage, fibre optique, placards intégrés, cuisine équipée

Mentions légales :

Les renseignements officiels concernant les risques naturels, technologiques et sismiques sont consultables sur le site Géorisques (www.georisques.gouv.fr). Les informations figurant dans cette annonce ont un caractère informatif et ne sauraient engager la responsabilité contractuelle du vendeur ou de tout partenaire. Il appartient à l'acheteur d'effectuer ses propres vérifications techniques et administratives avant toute décision.

Pour toute question, contactez Zefir au <span class=""importDescriptionDecorator"" data-type=""phone"">07 57 91 70 93</span>.",https://file.bienici.com/photo/ag942352-517060844_photos.ubiflow.net_942352_517060844_photos_1.jpg_INSOON_EB_5512801818_20260306090019?width=600&height=370&fit=cover,ok,10 mars 2026
Appartement 1 pièce 41 m²,75000,41 m²,Saint-Jean du Var,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/1piece/citya-immobilier-41039H-TAPP953655?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,1829,"À vendre : Appartement T1 de 40 m² à Toulon - St Jean du Var, lumineux et au dernier étage ! - Toulon - St Jean du Var - À VENDRE : Appartement T1 situé à Toulon, dans le quartier prisé de St Jean du Var. Ce bien immobilier, construit en 1900, offre un charme indéniable grâce à son architecture classique. Avec une superficie totale de 40 m², cet appartement est idéal pour une personne seule ou un couple à la recherche d'un premier logement.

L'appartement se compose d'une pièce principale spacieuse de 25 m², qui peut être aménagée selon vos goûts et vos besoins. La cuisine américaine, ouverte sur le séjour, permet de créer un espace convivial et chaleureux, parfait pour recevoir vos amis ou profiter de moments de détente. La salle d'eau, bien agencée, est équipée d'une douche, offrant un confort optimal.

Situé au deuxième et dernier étage d'un immeuble sans ascenseur, cet appartement bénéficie d'une orientation sud, garantissant une luminosité agréable tout au long de la journée. Le chauffage est individuel, avec un système électrique par radiateurs, vous permettant de réguler la température selon vos préférences.

vendu meublé en l'état cet appartement offre une toile vierge pour que vous puissiez y apporter votre touche personnelle. De plus, il est situé dans une résidence calme, sans nuisances, ce qui en fait un lieu de vie paisible. 

N'attendez plus pour visiter ce bien qui allie charme, confort et praticité, et qui saura répondre à vos attentes en matière de logement.  Le bien est soumis au statut de la copropriété , la copropriété comporte 14 lots , la quote-part budget prévisionnel (dépenses courantes) est de 528,00 euros/an. 
 Le prix du bien net vendeur est de 68 000,00 euros plus 10,29% TTC d'honoraires charge acquéreur soit un prix total de 75 000,00 euros. 
Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante : <span class=""importDescriptionDecorator"" data-url=""https://www.citya.com/agences-immobilieres/toulon-83137/154"" data-type=""agencyFeeUrl"">https://www.citya.com/agences-immobilieres/toulon-83137/154</span> . Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 040 et 1 460 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr",https://file.bienici.com/photo/citya-immobilier-41039H-TAPP953655_cityabox-web.ics.infoclip.fr_icsbox_cit_CITYA_ESTUBLIER_tic_transaction_photo_filigrane-rasuri_00-14693460823178618101.jpg?width=600&height=370&fit=cover,ok,6 mars 2026
Appartement 3 pièces 58 m²,149000,58 m²,Jonquet - Guynemer,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/citya-immobilier-41039H-TAPP957816AA?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,2569,"Exclusivité Toulon ouest/Les Primeroses T3+cave+ option garage - Dans un ensemble immobilier sécurisé avec un parc magnifique et stationnements se trouve ce logement de type 3 pièces au dernier étage. Totalisant 58 m², il offrira à son futur propriétaire le choix des aménagements et mise en modernisation pour lui redonner un charme actualisé. Volets roulants motorisés et double vitrage installés. Exposé est/ouest, il bénéficie d'un ensoleillement toute le journée. Le séjour climatisé ouvre sur un balcon et la cuisine sur une loggia fermée. Une des deux chambres climatisée totalise presque 12m². Les plus qui garantissent rangement et stationnement, la cave et le garage est proposé en option supplémentaire au prix de 25 000€ si acheté avec le logement.  Le bien est soumis au statut de la copropriété , la copropriété comporte 138 lots , la quote-part budget prévisionnel (dépenses courantes) est de 1 741,00 euros/an. 
 Honoraires à la charge du vendeur. 
Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante : <span class=""importDescriptionDecorator"" data-url=""https://www.citya.com/agences-immobilieres/toulon-83137/154"" data-type=""agencyFeeUrl"">https://www.citya.com/agences-immobilieres/toulon-83137/154</span> . Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 109 et 1 501 euros. Prix moyens des énergies indexés en 2023. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr",https://file.bienici.com/photo/citya-immobilier-41039H-TAPP957816AA_cityabox-web.ics.infoclip.fr_icsbox_cit_CITYA_ESTUBLIER_tic_transaction_photo_exclusivite-filigrane-SEJOUR_RENOVE-8912509048308037624.jpg?width=600&height=370&fit=cover,ok,10 mars 2026
Maison 5 pièces 88 m²,470000,88 m²,Sainte-Anne,maison,https://www.bienici.com/annonce/vente/toulon/maison/5pieces/apimo-86796465?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,5341,"Immo Liberté vous propose en exclusivité cette maison située dans un quartier calme de Toulon (Bas Faron) proche de toutes les commodités.

La maison entièrement rénovée est divisée en deux appartements un T2 et un T3 pouvant toutefois être reliés.  
Le premier se trouvant en rez-de-chaussée d'une superficie d'environ 23m², actuellement loué  (bail meublé étudiant) vous y trouverez une pièce de vie, une chambre et une salle de douches avec toilette ainsi qu'une cave pouvant être aménagée et deux petites terrasses ensoleillées. 
Le deuxième appartement d'environ 60m² se compose d'un salon avec terrasse, d'une salle à manger, d'une cuisine équipée et aménagée par laquelle vous pourrez accéder à un coin cosy en toit terrasse.
La maison se trouve sur un terrain d'environ 225m².
Un garage vient compléter le tout avec la possibilité de stationner devant, ce qui offre une seconde place de parking.
A visiter sans tarder !
Pour toutes informations complémentaires ou bien pour faire une visite contacter Sandrine Audibert au <span class=""importDescriptionDecorator"" data-type=""phone"">06 60 57 13 67</span>, par mail à <span class=""importDescriptionDecorator"" data-type=""email"">transaction@immo-liberte.fr.</span>",https://file.bienici.com/photo/apimo-86796465_media.apimo.pro_cache_c18d91209db20f05fb407c514b0d8c9a_c6fe37523c_1920-original.jpg?width=600&height=370&fit=cover,ok,5 mars 2026
Appartement 3 pièces 83 m²,175000,83 m²,Saint-Roch,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/iad-france-2023702?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,2108,"iad France - Amandine Clanget vous propose: Exclusivité : Grand appartement T3 avec Balcon à Toulon, résidence recherchée<br>Idéalement situé, au calme, cet appartement T3 situé au 3ème étage avec ascenseur d'un immeuble de 5 niveaux, bénéficie d'une rénovation récente et d'une luminosité optimale grâce à son exposition sud et ouest.<br>L'espace de vie (40 m2) offre une harmonie parfaite entre fonctionnalité et confort. Vous découvrirez un salon spacieux de 29.74m² avec accès direct au balcon, idéal pour profiter des rayons de soleil et prendre un café en toute tranquillité. La cuisine ouverte de 10m² permet de rester au cOEur de la convivialité.<br>Actuellement le bien compte 2 chambres, avec possibilité d'en créer une 3ème. Une salle d'eau moderne avec douche et un WC séparé viennent compléter ce bien. <br>Les équipements sont pensés pour votre confort au quotidien : fibre optique, ascenseur, ventilation mécanique pour une bonne qualité de l'air.<br>En annexe, il est possible d'acquérir un box fermé pour faciliter vos déplacements et assurer la sécurité de votre véhicule.<br>L'emplacement de cet appartement est idéal, proche des commodités, des commerces locaux et des axes de transport. Une opportunité rare à saisir, idéale pour un premier achat ou un investissement locatif.<br>N'attendez plus, contactez-moi pour visiter ce charmant appartement à Toulon dès maintenant !<br>La presente annonce immobiliere vise 2 lots situés dans une copropriété de 193 lots au total et faisant l'objet d'une ou plusieurs procédures en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 205€ par mois (soit 2460 € annuel). Honoraires d'agence à la charge du vendeur.<br>Bien non soumis au DPE. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Amandine Clanget mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 991208588, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",https://file.bienici.com/photo/iad-france-2023702_images.playiad.com_property_broadcast_2026_03_02_019cae2938cea88bbdc9b72145b276db.jpg?width=600&height=370&fit=cover,ok,2 mars 2026
Appartement 2 pièces 41 m²,159000,41 m²,Haute-ville,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2023241?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,3878,"iad France - Philippe Bernard vous propose: TOULON - HAUTE VILLE -  APPARTEMENT T2 DE 41 M2 AVEC SA TERRASSE DE 18 M2<br>Idéalement situé, vous bénéficierez de la proximité des commerces, des écoles, des transports en commun et des principaux axes routiers. Vous pourrez profiter des balades en plein cOEur de Toulon et de ses nombreux points d'intérêt à proximité.<br>Découvrez cet appartement T2 de 41 m2, parfait pour un investissement locatif ou pour une première acquisition, cet appartement offre un excellent potentiel et un cadre de vie agréable.<br>Bien agencé, l'appartement se compose d'un séjour lumineux  donnant sur une grande terrasse couverte qui sera le prolongement du salon, un coin bureau, une cuisine séparée, une chambre, d'une salle de bain avec wc. <br>Cet appartement est une opportunité à saisir dans un secteur prisé, idéal pour ceux qui recherchent un logement fonctionnel et bien situé. Ne manquez pas cette occasion unique et contactez-nous pour une visite dès maintenant!<br>Vous souhaitez connaître la valeur de votre villa, de votre appartement ou de votre terrain à Toulon (Valbourdin, Claret, Siblas, Sainte-Anne, les Lices, la Loubière, Ortolan, Faron, Vert Coteau, Brunet, Serinette, Mourillon, Cap Brun, Petit Bois, Lamalgue, 4 chemins des routes, les Routes, Valbertrand, Saint-Jean, Pont du Las, Saint Roch), ou ses environs. contactez-moi !!!<br>La presente annonce immobiliere vise 1 lot situé dans une copropriété de 6 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 110€ par mois (soit 1320 € annuel). Honoraires d'agence à la charge du vendeur.<br>Bien non soumis au DPE. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de M Philippe Bernard mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 832454425, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",https://file.bienici.com/photo/iad-france-2023241_images.playiad.com_property_broadcast_2026_03_02_019cadccfd8f4465fc30b74f0c2a29b6.jpg?width=600&height=370&fit=cover,ok,2 mars 2026
Appartement 3 pièces 70 m²,223230,70 m²,La Rode,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/3pieces/century-21-202_3064_5007?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,3189,"EXCLUSIVITÉ AMANDA - APPARTEMENT 3 PIECES - CAVE - GARAGE<br>TOULON - Secteur MAYOL<br>Découvrez ce BEL appartement 3 pièces offrant de beaux volumes et des prestations confortables, idéal pour une résidence principale ou un investissement serein.<br>Dès l'entrée, vous serez séduit par un SPACIEUX séjour / salle à manger LUMINEUX équipé d'une CLIMATISATION RÉVERSIBLE et ouvert sur un balcon de plus de 10 m². Un véritable prolongement de l'espace de vie, parfait pour vos moments de détente ou repas en extérieur.<br>La cuisine indépendante, équipée et aménagée, donne accès à une grande loggia fermée de plus de 10 m², elle aussi CLIMATISÉE. Cet espace supplémentaire offre de nombreuses possibilités : coin repas, bureau, buanderie ou espace de rangement optimisé.<br>L'espace nuit se compose d'une GRANDE CHAMBRE d'environ 15 m² avec un vaste placard intégré et un accès direct à la loggia, d'une salle de bain et d'un WC indépendant.<br>Des volets roulants électriques sont présents dans toutes les pièces !<br>L'appartement nécessite un léger rafraîchissement, offrant ainsi l'opportunité de le personnaliser à votre goût et de révéler tout son potentiel.<br>CERISE SUR LE GATEAU : Une CAVE et un GRAND GARAGE en sous-sol complètent le bien !<br>Vous recherchez un appartement fonctionnel, lumineux et confortable bénéficiant d'espaces extérieurs généreux et d'un fort potentiel après mise au goût du jour.<br>CONTACTEZ-NOUS SANS TARDER ! Montant estimé des dépenses annuelles d'énergie pour un usage standard entre 994.0 € et 1344.0 € indexées aux années 2021, 2022, 2023 (abonnements compris).",https://file.bienici.com/photo/century-21-202_3064_5007_images.century21.fr_202_3064_c21_202_3064_5007_1_6421FA01-630C-45B5-9ADB-C0FE3100C200.jpg?width=600&height=370&fit=cover,ok,6 mars 2026
Appartement 2 pièces 50 m²,149000,50 m²,Centre-ville,appartement,https://www.bienici.com/annonce/vente/toulon/appartement/2pieces/iad-france-2020890?q=%2Frecherche%2Fachat%2Ftoulon-83000%3Fprix-max%3D500000%26page%3D2,2980,"iad France - Murielle Biffe vous propose: Toulon – COEur de ville – T2 clé en main avec beaux volumes, proche Place Puget<br>En plein cOEur de Toulon, à deux pas de la très recherchée Place Puget, découvrez ce T2 situé au 3ᵉ étage d’un immeuble sans ascenseur.<br>Un emplacement dynamique et central, où tout se fait à pied : commerces, restaurants, marché, transports… Une adresse idéale pour profiter pleinement de la vie toulonnaise.<br>L’appartement offre de très beaux volumes pour un T2 et une belle luminosité grâce à ses trois grandes portes-fenêtres sur l’espace jour. Son agencement est particulièrement bien pensé, avec une vraie séparation entre l’espace de vie et l’espace nuit.<br>⸻<br>Le bien se compose de :<br>•Une spacieuse pièce de vie salon-séjour baignée de lumière<br>•Une cuisine aménagée et équipée, ouverte sur l’espace principal<br>•Un espace nuit distinct avec une pièce en enfilade permettant d'agencer dressing et bureau. <br>•Une chambre au calme, donnant sur l’intérieur de l’immeuble<br>•Une salle d’eau<br>•WC séparés<br>⸻<br>Les prestations<br>•Appartement en excellent état, prêt à vivre<br>•Parquet au sol<br>•Beaux volumes<br>•Agencement optimisé avec séparation jour / nuit<br>•Eau froide comprise dans les charges<br>•Situation recherchée en hypercentre<br>⸻<br>Mon avis<br>Un appartement qui combine emplacement premium, confort et performance locative.<br>Actuellement exploité en location meublée de courte durée, avec un locataire en place, il présente une belle rentabilité et un réel potentiel patrimonial grâce à son emplacement stratégique.<br>⸻<br>En savoir plus<br>Me contacter de préférence par SMS pour plus de réactivité<br>La presente annonce immobiliere vise 1 lot situé dans une copropriété de 7 lots au total et ne faisant l'objet d'aucune procédure en cours citée à l'article L. 721-1 du code de la construction et de l'habitation. Montant moyen mensuel de charges déclaré par le vendeur : 120€ par mois (soit 1440 € annuel). Honoraires d'agence à la charge du vendeur.<br>Information d'affichage énergétique sur ce bien : classe ENERGIE D indice 237 et classe CLIMAT B indice 7. Les informations sur les risques auxquels ce bien est exposé, y compris l'obligation légale de débroussaillement, sont disponibles sur le site Géorisques : http://www.georisques.gouv.fr.<br>La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Murielle Biffe mandataire indépendant en immobilier (sans détention de fonds), agent commercial de la SAS I@D France immatriculé au RSAC de TOULON sous le numéro 999133812, titulaire de la carte de démarchage immobilier pour le compte de la société I@D France SAS.",https://file.bienici.com/photo/iad-france-2020890_images.playiad.com_property_broadcast_2025_03_08_019577fbe5f497cd51f50ee4dcdbe250.jpg?width=600&height=370&fit=cover,ok,27 fevrier 2026
