type,prix,surface,quartier,date,adresse
Appartement,397000.0,78.0,Toulon,2024-01-08,RUE SUFFREN
Appartement,266500.0,80.0,Toulon,2024-01-05,PL GAMBETTA
Maison,258000.0,66.0,Toulon,2024-01-08,CHE DE LA CARRAIRE
Appartement,190000.0,60.0,Toulon,2024-01-04,AV JOSEPH LOUIS ORTOLAN
Maison,317570.0,48.0,Toulon,2024-01-08,AV DES VIGNETTES
Appartement,289000.0,110.0,Toulon,2024-01-04,AV DU MARECHAL FOCH
Appartement,117000.0,54.0,Toulon,2024-01-08,IMP BRUNO
Appartement,32000.0,24.0,Toulon,2024-01-04,CHE DE PLAISANCE
Appartement,195000.0,98.0,Toulon,2024-01-04,RUE JEAN PHILIPPE RAMEAU
Appartement,95000.0,64.0,Toulon,2024-01-05,RUE POMME DE PIN
Appartement,87400.0,37.0,Toulon,2024-01-08,RUE MIRABEAU
Appartement,163500.0,66.0,Toulon,2024-01-09,IMP BRUNO
Appartement,122000.0,80.0,Toulon,2024-01-08,BD DE PARIS
Appartement,192100.0,78.0,Toulon,2024-01-10,RUE PICOT
Appartement,70000.0,40.0,Toulon,2024-01-05,BD REGIS DUSSERRE
Appartement,35000.0,23.0,Toulon,2024-01-04,AV COLONEL PICOT
Appartement,190000.0,100.0,Toulon,2024-01-04,RUE D ESPAGNE
Maison,278000.0,65.0,Toulon,2024-01-08,RUE KLEBER
Appartement,75000.0,40.0,Toulon,2024-01-05,BD REGIS DUSSERRE
Maison,865250.0,167.0,Toulon,2024-01-09,AV EDMOND ROSTAND
Appartement,647500.0,72.0,Toulon,2024-01-08,AV DE LA RESISTANCE
Appartement,647500.0,72.0,Toulon,2024-01-08,AV DE LA RESISTANCE
Appartement,188000.0,39.0,Toulon,2024-01-11,ALL DES ACANTHES
Appartement,222000.0,68.0,Toulon,2024-01-08,PL GUSTAVE LAMBERT
Appartement,185000.0,46.0,Toulon,2024-01-12,RUE CASTEL
Appartement,55000.0,52.0,Toulon,2024-01-15,RUE ETIENNE DAUPHIN
Appartement,114300.0,35.0,Toulon,2024-01-09,AV LAZARE CARNOT
Appartement,154250.0,67.0,Toulon,2024-01-12,BD DE PARIS
Appartement,102400.0,36.0,Toulon,2024-01-10,RUE SUZANNE
Appartement,162000.0,29.0,Toulon,2024-01-08,AV DES MOULINS
Appartement,80000.0,40.0,Toulon,2024-01-04,RUE AUGUSTIN THIERRY
Maison,695700.0,155.0,Toulon,2024-01-08,IMP BOCCHECIAMPE
Appartement,174000.0,59.0,Toulon,2024-01-09,BD BAZEILLES
Appartement,615000.0,70.0,Toulon,2024-01-12,CHE FLORIAN
Appartement,615000.0,50.0,Toulon,2024-01-12,CHE FLORIAN
Appartement,150000.0,80.0,Toulon,2024-01-05,AV DU LAS
Appartement,130000.0,53.0,Toulon,2024-01-18,ALL DU 8 MAI 1945
Appartement,137850.0,40.0,Toulon,2024-01-08,RUE DU DOCTEUR BARROIS
Maison,900000.0,180.0,Toulon,2024-01-12,RUE BAPTISTIN SEMORI
Appartement,305000.0,72.0,Toulon,2024-01-09,BD DU FARON
Appartement,95000.0,66.0,Toulon,2024-01-19,AV DE LA RESISTANCE
Appartement,2400.0,60.0,Toulon,2024-01-18,RUE DES BOUCHERIES
Appartement,70000.0,58.0,Toulon,2024-01-11,RUE DES ORMEAUX
Appartement,120000.0,70.0,Toulon,2024-01-05,BD DU FARON
Appartement,577400.0,113.0,Toulon,2024-01-09,BD JULES MICHELET
Appartement,59000.0,34.0,Toulon,2024-01-12,RUE MICHEL DE BOURGES
Appartement,243000.0,84.0,Toulon,2024-01-17,AV CHARLES GANTELME
Appartement,1300000.0,150.0,Toulon,2024-01-04,RUE DU LT HENRI LACROIX
Appartement,81000.0,38.0,Toulon,2024-01-09,RUE SAINT LAURENT
Appartement,200000.0,41.0,Toulon,2024-01-22,CHE DE PLAISANCE
Appartement,200000.0,41.0,Toulon,2024-01-22,CHE DE PLAISANCE
