id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1116745,2023-01-05,000001,Vente,208000,30,,RUE THIERS,6930,83200,83137,Toulon,83,,,83137000CY0616,,,152,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.916976,43.131164
2023-1116745,2023-01-05,000001,Vente,208000,289,,CHE DE PLAISANCE,5845,83200,83137,Toulon,83,,,83137000CY0616,,,404,,405,78.46,,,,,,,2,2,Appartement,81,4,,,,,,5.916976,43.131164
2023-1116745,2023-01-05,000001,Vente,208000,30,,RUE THIERS,6930,83200,83137,Toulon,83,,,83137000CY0616,,,469,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.916976,43.131164
2023-1116746,2023-01-05,000001,Vente,77500,383,,RUE JEAN JAURES,3895,83000,83137,Toulon,83,,,83137000CO0367,,,15,,,,,,,,,,1,2,Appartement,18,1,,,,,,5.930958,43.124235
2023-1116751,2023-01-04,000001,Vente,91870,22,,BD LEON BOURGEOIS,4400,83100,83137,Toulon,83,,,83137000CD0073,,,13,39.7,,,,,,,,,1,2,Appartement,40,2,,,,,,5.947914,43.122829
2023-1116752,2023-01-03,000001,Vente,19000,677,,RUE DAVID,2105,83200,83137,Toulon,83,,,83137000DR0082,,,217,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.887545,43.138559
2023-1116754,2023-01-03,000001,Vente,139000,7,,RUE DANES DE MARLY,2055,83000,83137,Toulon,83,,,83137000CZ0259,,,8,,,,,,,,,,1,2,Appartement,48,2,,,,,,5.921616,43.135619
2023-1116767,2023-01-06,000001,Vente,96180,35,,RUE ESSELIER,2675,83000,83137,Toulon,83,,,83137000BV0008,,,7,22,,,,,,,,,1,2,Appartement,24,1,,,,,,5.939779,43.112753
2023-1116768,2023-01-10,000001,Vente,513350,5,,RUE GIMELLI,3385,83000,83137,Toulon,83,,,83137000CO0238,,,15,178,,,,,,,,,1,2,Appartement,178,6,,,,,,5.927699,43.127239
2023-1116768,2023-01-10,000001,Vente,513350,5,,RUE GIMELLI,3385,83000,83137,Toulon,83,,,83137000CO0238,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.927699,43.127239
